name,age
Amit,19.0
Amit,19.5
Amit,20.5
Amit,21.0
Anita,23.5
Arjun,18.0
Arjun,21.5
Arjun,22.0
Geet,22.5
Kavita,17.5
Kavita,19.8
Kavita,21.0
Kiran,18.0
Kiran,18.5
Kiran,18.5
Kiran,21.5
Kiran,23.0
Kiran,23.5
Meera,17.8
Mohan,22.5
Neha,17.5
Neha,17.5
Neha,19.0
Neha,21.0
Neha,21.5
Neha,23.0
Neha,23.0
Priya,23.0
Rahul,17.5
Rahul,20.0
Rahul,20.0
Rahul,20.0
Rahul,23.5
Ravi,18.3
Ravi,18.3
Ravi,20.0
Ravi,20.0
Ravi,20.5
Reeta,18.3
Reeta,19.0
Reeta,21.0
Suresh,17.5
Suresh,17.8
Suresh,18.0
Suresh,19.5
Suresh,19.5
Suresh,19.8
Suresh,21.5
Vikram,17.5
Vikram,17.8
