name,age
Amit,23.5
Amit,19.8
Anita,20.5
Anita,19.5
Anita,17.8
Anita,23.5
Anita,19.0
Anita,22.0
Anita,18.0
Anita,20.0
Arjun,18.0
Arjun,23.5
Arjun,19.5
Geet,19.0
Geet,20.0
Geet,19.5
Geet,22.0
Geet,23.5
Geet,19.8
Geet,23.5
Kavita,21.5
Kavita,19.8
Kavita,19.5
Kiran,19.0
Meera,19.8
Meera,23.5
Meera,22.5
Meera,22.5
Meera,17.8
Meera,20.5
Meera,18.0
Meera,19.5
Mohan,19.0
Mohan,17.5
Mohan,20.5
Neha,21.5
Neha,21.0
Neha,17.5
Neha,18.0
Neha,21.5
Neha,19.0
Priya,18.3
Priya,22.0
Priya,21.0
Priya,21.0
Rahul,17.8
Rahul,20.5
Rahul,17.5
Rahul,19.0
Rahul,17.8
Ravi,22.0
Ravi,20.0
Ravi,20.5
Ravi,18.3
Ravi,22.5
Reeta,19.5
Reeta,19.8
Reeta,19.5
Reeta,23.0
Reeta,23.0
Sneha,17.5
Sneha,18.3
Sneha,22.5
Sneha,20.0
Sneha,21.5
Sneha,18.3
Sneha,17.8
Sneha,18.5
Suresh,19.0
Suresh,18.0
Suresh,23.0
Suresh,18.5
Suresh,20.5
Suresh,19.0
Suresh,17.8
Vikram,17.8
Vikram,23.5
Vikram,23.5
Vikram,17.5
Vikram,22.0
