name,age
Amit,17.8
Amit,18.3
Amit,19.8
Amit,21.0
Anita,18.3
Anita,18.5
Anita,20.5
Anita,21.5
Arjun,17.8
Arjun,18.5
Arjun,20.0
Geet,19.8
Geet,21.0
Kavita,17.5
Kavita,18.5
Kavita,20.0
Kavita,21.5
Kavita,23.0
Kiran,19.5
Kiran,20.0
Kiran,21.5
Kiran,22.5
Kiran,23.0
Meera,20.0
Meera,21.0
Meera,21.0
Meera,23.0
Meera,23.5
Mohan,19.8
Mohan,20.0
Mohan,23.0
Neha,18.3
Neha,21.0
Priya,17.8
Priya,19.5
Priya,21.0
Rahul,19.0
Rahul,20.0
Rahul,21.5
Ravi,23.5
Reeta,19.8
Reeta,19.8
Reeta,23.0
Sneha,18.3
Sneha,22.0
Suresh,18.0
Suresh,23.0
Vikram,17.8
Vikram,18.3
Vikram,23.0
