name,age
Anita,17.5
Mohan,17.8
Rahul,17.8
Mohan,17.8
Mohan,17.8
Geet,17.8
Mohan,17.8
Suresh,18.0
Geet,18.0
Meera,18.0
Suresh,18.0
Vikram,18.3
Kiran,18.3
Geet,18.3
Mohan,18.5
Geet,18.5
Neha,18.5
Kavita,19.0
Meera,19.0
Kavita,19.5
Arjun,19.5
Mohan,19.5
Vikram,19.8
Mohan,19.8
Ravi,19.8
Meera,20.5
Kavita,20.5
Kiran,21.0
Rahul,21.0
Amit,21.0
Mohan,21.0
Arjun,21.5
Vikram,21.5
Amit,21.5
Neha,21.5
Vikram,21.5
Rahul,22.0
Rahul,22.0
Arjun,22.0
Meera,22.0
Priya,22.0
Priya,22.0
Meera,22.5
Arjun,22.5
Kiran,22.5
Arjun,22.5
Suresh,22.5
Kavita,22.5
Meera,23.0
Sneha,23.5
