name,age
Amit,18.5
Anita,17.8
Anita,18.0
Anita,20.0
Arjun,18.0
Arjun,18.0
Arjun,18.3
Arjun,23.5
Geet,21.5
Kavita,19.0
Kavita,21.5
Kiran,19.5
Meera,19.5
Mohan,17.5
Mohan,17.5
Mohan,18.0
Mohan,21.5
Mohan,21.5
Mohan,22.0
Neha,17.8
Neha,17.8
Neha,18.5
Neha,20.5
Priya,17.5
Priya,18.0
Priya,19.0
Priya,20.0
Priya,20.5
Priya,23.0
Rahul,19.8
Rahul,21.5
Rahul,23.5
Ravi,20.0
Ravi,22.5
Ravi,22.5
Reeta,17.5
Reeta,23.5
Reeta,23.5
Sneha,17.8
Sneha,23.0
Sneha,23.0
Suresh,17.8
Suresh,18.5
Suresh,21.0
Suresh,22.5
Vikram,17.8
Vikram,21.5
Vikram,21.5
Vikram,22.0
Vikram,22.0
